Method,Class,Threshold,AUROC,AUPRC,F1,Accuracy,Pixel AUROC,PRO
PATCHCORE,Hazelnut,382.27,0.9883,0.9915,0.8376,0.7865,0.9680,0.7448
PATCHCORE,Carpet,176.62,0.9371,0.9726,0.8400,0.7363,0.9526,0.7192
PATCHCORE,Zipper,123.71,0.7504,0.8760,0.8400,0.7241,0.8456,0.4723
PATCHCORE,Macro_average,-,0.8919,0.9467,0.8392,0.7490,0.9221,0.6455
PADIM,Hazelnut,47.43,0.6046,0.6605,0.7111,0.5618,0.7990,0.5278
PADIM,Carpet,30.39,0.8940,0.9559,0.8676,0.8022,0.9546,0.7375
PADIM,Zipper,24.45,0.5547,0.7837,0.8400,0.7241,0.7262,0.3160
PADIM,Macro_average,-,0.6844,0.8000,0.8063,0.6960,0.8266,0.5271
