class,coreset_ratio,memory_bank_size,training_time_s,auroc,auprc,f1,accuracy
hazelnut,1%,2446,563.298125743866,0.9984693877551021,0.9988226059654631,0.9791666666666666,0.9775280898876404
hazelnut,5%,12230,2097.9784178733826,0.9984693877551021,0.9988226059654631,0.968421052631579,0.9662921348314607
hazelnut,10%,24460,3337.8000173568726,0.9994897959183673,0.9995918367346939,0.9574468085106383,0.9550561797752809
carpet,1%,1756,310.176242351532,0.9518140589569161,0.9810326210187823,0.9,0.8681318681318682
carpet,5%,8780,1123.4979479312897,0.9467120181405896,0.979019369339605,0.9016393442622951,0.8681318681318682
carpet,10%,17561,1674.371166229248,0.945578231292517,0.9790486659042235,0.9016393442622951,0.8681318681318682
zipper,1%,1505,229.1001169681549,0.9371279761904762,0.9772101901226093,0.9090909090909091,0.8706896551724138
zipper,5%,7526,829.3180792331696,0.9363839285714286,0.9770708300022791,0.8930817610062893,0.853448275862069
zipper,10%,15052,1750.6016006469727,0.9229910714285714,0.9714562620200989,0.9024390243902439,0.8620689655172413
