Method,Class,Threshold,AUROC,AUPRC,F1,Accuracy,Pixel AUROC,PRO
PATCHCORE,Hazelnut,382.27,1.0000,1.0000,1.0000,1.0000,0.9885,0.8549
PATCHCORE,Carpet,176.62,0.9728,0.9908,0.9508,0.9341,0.9880,0.8362
PATCHCORE,Zipper,123.71,0.9818,0.9935,0.9486,0.9224,0.9859,0.8328
PATCHCORE,Macro_average,-,0.9849,0.9948,0.9665,0.9522,0.9875,0.8413
PADIM,Hazelnut,47.43,0.9709,0.9746,0.8667,0.8652,0.9633,0.7970
PADIM,Carpet,30.39,0.9586,0.9845,0.9231,0.9011,0.9839,0.5338
PADIM,Zipper,24.45,0.8616,0.9419,0.8953,0.8448,0.9719,0.7975
PADIM,Macro_average,-,0.9304,0.9670,0.8950,0.8704,0.9731,0.7094
