class,method,domain,adaptation,auroc,auprc,f1,accuracy,precision,recall
hazelnut,PatchCore,shift,full,0.9984693877551021,0.9988226059654631,0.968421052631579,0.9662921348314607,1.0,0.9387755102040817
hazelnut,PaDiM,shift,full,0.9510204081632654,0.9567903475731194,0.9183673469387755,0.9101123595505618,0.9183673469387755,0.9183673469387755
carpet,PatchCore,shift,full,0.9467120181405896,0.979019369339605,0.9016393442622951,0.8681318681318682,0.9322033898305084,0.873015873015873
carpet,PaDiM,shift,full,0.8962585034013605,0.9571851468795194,0.8275862068965517,0.7802197802197802,0.9056603773584906,0.7619047619047619
zipper,PatchCore,shift,full,0.9363839285714286,0.9770708300022791,0.8930817610062893,0.853448275862069,0.9466666666666667,0.8452380952380952
zipper,PaDiM,shift,full,0.8087797619047619,0.9174638542417118,0.8280254777070064,0.7672413793103449,0.8904109589041096,0.7738095238095238
MACRO_AVG,PatchCore,shift,full,0.9605217781557066,0.984970935102449,0.9210473859667211,0.8959574262751326,0.959623352165725,0.88567649281935
MACRO_AVG,PaDiM,shift,full,0.8853528911564625,0.9438131162314503,0.8579930105141113,0.8191911730268956,0.9048128944004586,0.8180272108843537
