Method,Class,Threshold,AUROC,AUPRC,F1,Accuracy,Pixel AUROC,PRO
PATCHCORE,hazelnut,593.5776883438615,0.988265306122449,0.9915360445448597,0.8604651162790697,0.8651685393258427,0.9680288233667869,0.744806302840756
PATCHCORE,carpet,326.0456415106513,0.9370748299319728,0.9725831512170602,0.8695652173913043,0.8351648351648352,0.9525565920151716,0.7192273348420473
PATCHCORE,zipper,405.80550583298145,0.7503720238095237,0.8759761204746934,0.8192771084337349,0.7413793103448276,0.8456490186924561,0.4723334295035564
PADIM,hazelnut,56.26533027356809,0.6045918367346939,0.6604982179636771,0.7111111111111111,0.5617977528089888,0.7989664317107451,0.5277679316037855
PADIM,carpet,42.61078038138312,0.8939909297052154,0.9558860042533879,0.8495575221238938,0.8131868131868132,0.9546002303166947,0.737471198873605
PADIM,zipper,82.71853887884467,0.5546875,0.7836601509709658,0.84,0.7241379310344828,0.7261884300640181,0.31604571649587515
PATCHCORE,Macro_average,441.80961189583144,0.8919040532879818,0.9466984387455377,0.8497691473680363,0.8139042282785018,0.9220781446914715,0.6454556890621198
PADIM,Macro_average,60.53154984459863,0.6844234221466364,0.800014791062677,0.8002228777450017,0.699707499010095,0.8265850306971526,0.5270949489910886
